nombre_producto,cantidad_entregada
SALMETEROL + FLUTICASONA 25MCG + 250MCG INHALADOR X 120 DOSIS | GLAXO | SERETIDE DISKUS,1
ISOTRETINOINA 20MG TABLETA | COLMED |,30
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
ACETAMINOFEN 500MG TABLETA | AG |,1
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,90
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,90
HIDROXIDO DE ALUMINIO + MAGNESIO + SIMETICONA ( 400+400+20)/ML SUSPENSION 150ML | COASPHARMA |,3
IMIPRAMINA 25MG TABLETA | HUMAX |,90
VALSARTAN 80MG TABLETA | LASANTE |,28
MONTELUKAST 5MG TABLETA MASTICABLE | LASANTE |,90
AZELASTINA + FLUTICASONA PROPIONATO 137MCG+50MCG SPRAY NASAL X 30ML | NOVAMED | AZEFLU,2
DEXAMETASONA 1MG + POLIMIXINA 6.000U.I + NEOMICINA 3.5MG SOLUCION OFTALMICA | VITALIS | VITATRIOL,1
FEXOFENADINA 30MG/5ML JARABE | ECAR |,5
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,60
FOSFOMICINA 3GR SOBRE DE SOLUCION ORAL | NOVAMED | UROFOS,5
ACETAMINOFEN 500MG TABLETA | AG |,60
ETORICOXIB 90MG TABLETA | EUROFARMA |,30
POLIETILENGLICOL 3350 SOBRE DE SOLUCION ORAL | ECAR | FARMALAX,60
LEVETIRACETAM 1GR TABLETA | SCANDINAVIA | CEUMID,180
ACETAMINOFEN 500MG TABLETA | AG |,180
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,60
ETORICOXIB 90MG TABLETA | EUROFARMA |,30
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | RECIPE |,60
TRIMETOPRIM SULFAMETOXAZOL 800MG + 160MG TABLETA | GENFAR |,14
ACETAMINOFEN 500MG TABLETA | AG |,32
ENOXAPARINA SODICA 40MG/0.4ML SOLUCION INYECTABLE | DELTA | PHARMA LAW,5
AMLODIPINO 5MG TABLETA | WINTHROP |,60
VALSARTAN 160MG TABLETAS |GENFAR|,56
IMIPRAMINA 25MG TABLETA | HUMAX |,90
ESOMEPRAZOL 40MG TABLETA | COLMED |,7
ACETAZOLAMIDA 250MG TABLETA | COLMED |,90
AMLODIPINO + VALSARTAN + HIDROCLOROTIAZIDA 10MG+160MG+12.5MG TABLETA | NOVARTIS | EXFORGE HCT,175
ATORVASTATINA 40MG TABLETA ECAR,1
LEVETIRACETAM 500MG TABLETA | GLAXO | KEPPRA,120
BETAMETASONA 0.1% CREMA | GENFAR |,1
MELOXICAM 15MG TABLETA | LASANTE |,30
IBUPROFENO 400MG TABLETA | GENFAR |,30
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,180
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,175
MELOXICAM 7.5MG TABLETA | LASANTE |,10
ACETAMINOFEN 500MG TABLETA | AG |,40
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
INSULINA ASPARTA 100U/3ML LAPICERO | NOVO | NOVORAPID FLEXPEN,9
ROSUVASTATINA 40MG TABLETA | ECAR |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,60
CREMA ALMIPRO 500GR POTE | SAN JORGE |,2
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,120
CEFALEXINA 500MG CAPSULA | RECIPE |,28
NAPROXENO 250MG TABLETA GENFAR,15
CARBONATO DE LITIO 300MG TABLETA | ACTIFARMA | ACTILITIO,360
NAPROXENO 250MG TABLETA GENFAR,30
ESTROGENOS CONJUGADOS 0.625MG CREMA VAGINAL X 26GR | FAES FARMA | FEVENY,1
VITAMINA D3 2000UI CAPSULA | COLMED |,90
NAPROXENO 250MG TABLETA GENFAR,30
HIDROXICLOROQUINA 200MG TABLETA | SIEGFRIED | DIMARD 200,120
CARBOXIMETILCELULOSA 0.5% SOLUCION OFTALMICA FCO 10ML | PROCAPS | LAGRIGEN |,3
OXALATO DE ESCITALOPRAM 20MG TABLETA | SANDOZ | ANIMAXEN,90
ACETAMINOFEN 500MG TABLETA | AG |,18
CEFALEXINA 500MG CAPSULA | RECIPE |,28
AMANTADINA 100MG CAPSULA | NOVAMED | ZINTERGIA,240
ALBENDAZOL 200MG TABLETA | BIOQUIFAR | FINAPAR,4
TINIDAZOL 500MG TABLETA | ECAR |,8
ACETAMINOFEN 500MG TABLETA | AG |,16
CEFALEXINA 500MG CAPSULA | RECIPE |,16
ESOMEPRAZOL 20MG TABLETA |COLMED,7
NAPROXENO 250MG TABLETA GENFAR,6
ALENDRONATO 70MG TABLETA | LASANTE |,12
ATORVASTATINA 40MG TABLETA ECAR,90
VITAMINA B12 1.000MCG/1ML SOLUCION INYECTABLE | ECAR | CIANOCOBALAMINA 0.1 MG/ML,4
ESOMEPRAZOL 20MG TABLETA |COLMED,60
METFORMINA 850MG TABLETA | PISA S.A |,90
INSULINA GLARGINA 300U.I./3ML (100U.I./ML) LAPICERO | SANOFI AVENTIS | LANTUS,4
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,30
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,800
INSULINA GLULISINA 300U.I./3ML (100U.I./ML) CARTUCHO | SANOFI AVENTIS | APIDRA,8
ACETAMINOFEN 500MG TABLETA | AG |,20
AMOXICILINA 500MG CAPSULA | LASANTE |,28
NAPROXENO 250MG TABLETA GENFAR,15
CIPROFLOXACINO 500MG TABLETA | BCN | PROCATEC,14
ACIDO FUSIDICO 2% CREMA TOPICA | GENFAR |,1
ACETAMINOFEN 500MG TABLETA | AG |,8
CEFALEXINA 500MG CAPSULA | RECIPE |,16
IBUPROFENO 400MG TABLETA | GENFAR |,6
LACOSAMIDA 100MG TABLETA | CLINICOS Y HOSPITALARIOS |,150
CARBOXIMETILCELULOSA 0.5% SOLUCION OFTALMICA FCO 10ML | PROCAPS | LAGRIGEN |,3
NAPROXENO 250MG TABLETA GENFAR,15
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,50
ATORVASTATINA 20MG TABLETA | LASANTE |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
AMLODIPINO 10MG TABLETA | GENFAR |,90
CARBONATO DE CALCIO 600MG TABLETA | METLEN FARMA | OSTEOCAL,180
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
INSULINA GLARGINA 300U.I./3ML (100U.I./ML) LAPICERO | SANOFI AVENTIS | LANTUS,8
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,50
VALSARTAN 160MG TABLETAS |GENFAR|,56
NAPROXENO 250MG TABLETA GENFAR,30
LOSARTAN 50MG TABLETA | GENFAR |,180
ROSUVASTATINA 20MG TABLETA | ECAR |,90
OXALATO DE ESCITALOPRAM 20MG TABLETA | SANDOZ | ANIMAXEN,90
LACOSAMIDA 100MG TABLETA | CLINICOS Y HOSPITALARIOS |,90
NITAZOXANIDA 500MG TABLETA | BUSSIE | NITAZOFIN,6
FLUOXETINA 20MG TABLETA | NOVAMED | GENERICO,30
NAPROXENO 250MG TABLETA GENFAR,30
LAMOTRIGINA 50MG TABLETA DISPERSABLE | HUMAX |,180
INSULINA GLARGINA 450U.I./1.5ML (300U.I./ML) LAPICERO | SANOFI AVENTIS | TOUJEO,2
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,100
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,100
GLUCOMETRO DIGITAL | PROCAPS | GLUCOQUICK DIAMOND GD50,1
SACAROMICES BOULARDI 250MG SOBRE DE SOLUCION ORAL | AXON PHARMA COLOMBIA | FLORATIL MINI SACHETS,5
SULFATO DE ZINC 2MG/ML SOLUCION ORAL | FARMATECH | SULZINC,2
ATORVASTATINA 20MG TABLETA | LASANTE |,90
INSULINA GLARGINA 450U.I./1.5ML (300U.I./ML) LAPICERO | SANOFI AVENTIS | TOUJEO,4
INSULINA GLULISINA 300U.I./3ML (100U.I./ML) CARTUCHO | SANOFI AVENTIS | APIDRA,5
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,50
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,50
BROMFENACO SODICO 0.9MG/5ML SOLUCION OFTALMICA | SOPHIA | ZEBESTEN,3
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,180
ETORICOXIB 60MG TABLETA | HETERO | TORROX,10
ATORVASTATINA 40MG TABLETA ECAR,90
NAPROXENO 250MG TABLETA GENFAR,30
TINIDAZOL 500MG TABLETA | ECAR |,8
FLUCONAZOL 200MG CAPSULA | BIOQUIFAR | CINDIMIZOL,1
LEVETIRACETAM 500MG TABLETA | GLAXO | KEPPRA,60
LORATADINA 10MG TABLETA | LAPROFF |,60
PREDNISOLONA 5MG TABLETA | LAPROFF |,60
AMPICILINA 500MG CAPSULA | LASANTE |,780
MOMETASONA FUROATO 50MG/ML SPRAY NASAL X 18GR | MEGALABS | RINOSAL,1
ACETAMINOFEN 500MG TABLETA | AG |,8
CEFALEXINA 500MG CAPSULA | RECIPE |,16
IBUPROFENO 400MG TABLETA | GENFAR |,6
MELOXICAM 7.5MG TABLETA | LASANTE |,20
SACAROMICES BOULARDI 250MG SOBRE DE SOLUCION ORAL | AXON PHARMA COLOMBIA | FLORATIL MINI SACHETS,5
SALMETEROL + FLUTICASONA 50MCG + 250MCG INHALADOR X 60 DOSIS | CIPLA | SEROHALE |,3
ATORVASTATINA 20MG TABLETA | LASANTE |,1
ACETAMINOFEN 500MG TABLETA | AG |,30
ROSUVASTATINA 40MG TABLETA | BUSSIE | REX,90
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,30
ATORVASTATINA 40MG TABLETA ECAR,90
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
FOSFOMICINA 3GR SOBRE DE SOLUCION ORAL | NOVAMED | UROFOS,1
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
FUROATO DE FLUTICASONA 27.5MCG SPRAY NASAL X 120 DOSIS | NOVAMED |,1
NAPROXENO 125MG/5ML (2.5%) SUSPENSION | LABINCO | NAPROX,2
HIDROXICINA 25MG TABLETA | GENFAR |,20
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,30
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
ACETAMINOFEN 500MG TABLETA | AG |,20
CEFALEXINA 500MG CAPSULA | RECIPE |,20
NAPROXENO 250MG TABLETA GENFAR,15
LEVOTIROXINA 25MCG TABLETA | TECNOQUIMICAS |,90
DIVALPROATO DE SODIO 500MG TABLETA ABBOTT VALCOTE,270
ETORICOXIB 90MG TABLETA | EUROFARMA |,120
BROMFENACO SODICO 0.9MG/5ML SOLUCION OFTALMICA | SOPHIA | ZEBESTEN,3
ACETAMINOFEN 500MG TABLETA | AG |,90
ESOMEPRAZOL 40MG TABLETA | COLMED |,60
ETORICOXIB 90MG TABLETA | EUROFARMA |,60
ACETAMINOFEN 500MG TABLETA | AG |,90
AMITRIPTILINA 25MG TABLETA | LAPROFF |,90
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ATORVASTATINA 40MG TABLETA ECAR,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
PREDNISOLONA 0.1% GOTAS OFTALMICAS | LASANTE |,1
CIPROFLOXACINO 500MG TABLETA | BCN | PROCATEC,14
AZELASTINA + FLUTICASONA PROPIONATO 137MCG+50MCG SPRAY NASAL X 30ML | NOVAMED | AZEFLU,1
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
INSULINA GLARGINA + LIXISENATIDA (100UI+33MCG)/3ML SOLUCION INYECTABLE | SANOFI | SOLIQUA,8
CARBOXIMETILCELULOSA 0.5% SOLUCION OFTALMICA FCO 10ML | PROCAPS | LAGRIGEN |,3
AZELASTINA + FLUTICASONA PROPIONATO 137MCG+50MCG SPRAY NASAL X 30ML | NOVAMED | AZEFLU,2
CEFALEXINA 250MG/5ML SUSPENSION | LASANTE |,2
VITAMINA D3 (COLECALCIFEROL) 5600U.I./10ML SOLUCION ORAL | NOVAMED | DENSIMET,2
LAMOTRIGINA 50MG TABLETA DISPERSABLE | HUMAX |,360
ACIDO TRANEXAMICO 500MG TABLETA | HUMAX | FIBRILOK,20
AMOXICILINA 500MG CAPSULA | LASANTE |,30
DIVALPROATO DE SODIO 250MG TABLETA DE LIBERACION SOSTENIDA | ABBOTT | VALCOTE ER,30
RISPERIDONA 1MG/20ML SOLUCION ORAL | SCANDINAVIA | TRACTAL 1MG/ML,1
OXCARBAZEPINA 300MG TABLETA | NOVARTIS | TRILEPTAL 300MG,90
INSULINA GLARGINA 300U.I./3ML (100U.I./ML) LAPICERO | SANOFI AVENTIS | LANTUS,2
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,30
BROMURO DE PIRIDOSTIGMINA 60MG TABLETA | HUMAX | MESTINON,1
VITAMINA D3 2000UI CAPSULA | COLMED |,90
CARBONATO DE LITIO 300MG TABLETA | ACTIFARMA | ACTILITIO,270
NAPROXENO 250MG TABLETA GENFAR,6
ACETAMINOFEN 500MG TABLETA | AG |,40
CEFALEXINA 500MG CAPSULA | RECIPE |,12
SULFATO FERROSO 300MG TABLETA | ECAR |,30
NAPROXENO 250MG TABLETA GENFAR,9
ACETAMINOFEN 500MG TABLETA | AG |,20
ESOMEPRAZOL 40MG TABLETA | GENFAR |,90
ESOMEPRAZOL 20MG TABLETA |COLMED,90
LEVETIRACETAM 1GR TABLETA | SCANDINAVIA | CEUMID,180
CARBOXIMETILCELULOSA 0.5% SOLUCION OFTALMICA FCO 10ML | PROCAPS | LAGRIGEN |,3
ACETAMINOFEN 500MG TABLETA | AG |,40
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
ATORVASTATINA 20MG TABLETA | LASANTE |,90
ACETAMINOFEN 500MG TABLETA | AG |,60
MELOXICAM 7.5MG TABLETA | LASANTE |,60
DIFENHIDRAMINA 12.5MG/5ML JARABE | LAPROFF |,2
ATORVASTATINA 20MG TABLETA | ECAR |,90
LEVOTIROXINA 100MCG TABLETA | MERCK | EUTIROX,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,90
VITAMINA D3 2000UI CAPSULA | COLMED |,90
ESOMEPRAZOL 20MG TABLETA | COLMED |,90
IMIPRAMINA 25MG TABLETA | HUMAX |,90
CREMA ALMIPRO 500GR POTE | SAN JORGE |,1
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,250
SERTRALINA 50MG TABLETA | GENFAR |,60
VITAMINA D3 (COLECALCIFEROL) 25.000U.I./1ML SOLUCION ORAL | EUROETIKA | HISTOTAL,4
CIPROFLOXACINO 500MG TABLETA | BCN | PROCATEC,20
CEFALEXINA 500MG CAPSULA | RECIPE |,28
NAPROXENO 125MG/5ML (2.5%) SUSPENSION | LABINCO | NAPROX,1
VITAMINA D3 1000UI CAPSULA | COLMED | BLANDA,30
FLUVOXAMINA 100MG TABLETA | THE LABS | ANSIVOX,90
LEVOMEPROMAZINA 4% SOLUCION ORAL | HUMAX |,3
ESOMEPRAZOL 40MG TABLETA | COLMED |,120
LEVOSULPIRIDE + PANCREATINA + SIMETICONA 25MG+150MG+80MG TABLETA | NOVAMED | DIMOFLAX,1
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
ACETAMINOFEN 500MG TABLETA | AG |,30
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,90
ROSUVASTATINA 20MG TABLETA | ECAR |,90
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
LANCETAS DE GLUCOMETRIA | PROCAPS | GLUCOQUICK,100
TRAZODONA 50MG TABLETA | RECIPE |,90
SERTRALINA 50MG TABLETA | GENFAR |,180
ACETAMINOFEN 500MG TABLETA | AG |,56
APIXABAN 2.5MG TABLETA | PFIZER | ELIQUIS,60
ATORVASTATINA 20MG TABLETA | LASANTE |,30
CLINDAMICINA 300MG CAPSULA GENFAR,21
TRAZODONA 50MG TABLETA | RECIPE |,30
CIPROFLOXACINO 500MG TABLETA | BCN | PROCATEC,14
FUROSEMIDA 40MG TABLETA | GENFAR |,30
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,30
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,60
SERTRALINA 50MG TABLETA | GENFAR |,30
NAPROXENO 250MG TABLETA GENFAR,10
NAPROXENO 250MG TABLETA GENFAR,180
VITAMINA D3 (COLECALCIFEROL) 25.000U.I./1ML SOLUCION ORAL | EUROETIKA | HISTOTAL,12
MELOXICAM 7.5MG TABLETA | LASANTE |,20
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
ATORVASTATINA 40MG TABLETA ECAR,120
ALENDRONATO 70MG TABLETA | LASANTE |,12
NAPROXENO 250MG TABLETA GENFAR,20
VITAMINA D3 (COLECALCIFEROL) 25.000U.I./1ML SOLUCION ORAL | EUROETIKA | HISTOTAL,13
VITAMINA D3 (COLECALCIFEROL) 25.000U.I./1ML SOLUCION ORAL | EUROETIKA | HISTOTAL,3
CARVEDILOL 12.5MG TABLETA | WINTHROP |,180
FEXOFENADINA 30MG/5ML JARABE | ECAR |,1
ACETAMINOFEN 500MG TABLETA | AG |,40
AMLODIPINO 5MG TABLETA | WINTHROP |,90
ATORVASTATINA 20MG TABLETA | LASANTE |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
BISACODILO 5MG TABLETA | BUSSIE |,40
ACETAMINOFEN 500MG TABLETA | AG |,6
NAPROXENO 250MG TABLETA GENFAR,15
PROPRANOLOL 40MG TABLETA | NOVAMED |,20
VITAMINA D3 (COLECALCIFEROL) 25.000U.I./1ML SOLUCION ORAL | EUROETIKA | HISTOTAL,8
ACETAMINOFEN 500MG TABLETA | AG |,30
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
ATORVASTATINA 20MG TABLETA | LASANTE |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,90
ROSUVASTATINA 40MG TABLETA | BUSSIE | REX,30
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | RECIPE |,27
BECLOMETASONA 50MCG INHALADOR NASAL | BIOSYNTEC |,1
LORATADINA 5MG/5ML JARABE | LAPROFF |,7
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,180
ENALAPRIL 5MG TABLETA | AG |,30
OMEPRAZOL 20MG CAPSULA | NOVAMED |,30
ACETAMINOFEN 500MG TABLETA | AG |,8
CIPROFLOXACINO 500MG TABLETA | BCN | PROCATEC,8
ESOMEPRAZOL 20MG TABLETA |COLMED,7
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | RECIPE |,6
SULFATO FERROSO 125MG GOTAS | LAPROFF | FERROPROFF GOTAS,3
NISTATINA 100.000U.I. CREMA TOPICA | COASPHARMA | TISAT,1
AMOXICILINA 500MG CAPSULA | LASANTE |,84
DOXICICLINA 100MG TABLETA | GENFAR |,28
ESOMEPRAZOL 20MG TABLETA |COLMED,28
LEVETIRACETAM 500MG TABLETA | GLAXO | KEPPRA,90
OMEPRAZOL 20MG CAPSULA | NOVAMED |,30
PENICILINA G BENZATINICA 2.400.000U.I. SOLUCION INYECTABLE | FARMALOGICA |,1
LACTULOSA 66.7GR/100ML SOBRE DE SOLUCION ORAL | HUMAX | CONSTILAX,1
MESALAZINA 500MG TABLETA | LABINCO | MESAX,180
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,90
BISOPROLOL FUMARATO 5MG TABLETA | SIEGFRIED | CORBIS,30
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,90
ACIDO ASCORBICO 500MG TABLETA MASTICABLE | LASANTE | VITAMINA C,90
BETAHISTINA 16MG TABLETA | LA SANTE |,60
GENTAMICINA 0.3% SOLUCION OFTALMICA COLMED,1
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | RECIPE |,30
ACIDO ACETIL SALICILICO 100MG TABLETA | BAYER | CARDIOASPIRINA,1
ATORVASTATINA 40MG TABLETA ECAR,90
FEXOFENADINA 30MG/5ML JARABE | ECAR |,1
IBUPROFENO 100MG/5ML SUSPENSION | LABQUIFAR | BUPROFEN,1
ROSUVASTATINA 20MG TABLETA | ECAR |,90
SULFATO FERROSO 300MG TABLETA | ECAR |,90
OMEPRAZOL 20MG CAPSULA | NOVAMED |,40
CARBONATO DE CALCIO 1500MG + VITAMINA D 200U.I TABLETA | LEBRIUT S.A.S | OROCAL D,90
VITAMINA B12 1.000MCG/1ML SOLUCION INYECTABLE | ECAR | CIANOCOBALAMINA 0.1 MG/ML,3
NAPROXENO 250MG TABLETA GENFAR,10
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
TIRAS REACTIVAS P/GLUCOSA GD50 X UND |DIABETRICS |GLUCOQUICK,50
DIACEREINA 50MG TABLETA | SYNERGY LAB S.A.S | ARTRO M,90
CARBONATO DE CALCIO 1500MG + VITAMINA D 200U.I TABLETA | LEBRIUT S.A.S | OROCAL D,40
LEVETIRACETAM 500MG TABLETA | GLAXO | KEPPRA,120
ATORVASTATINA 20MG TABLETA | ECAR |,90
AMLODIPINO 5MG TABLETA | WINTHROP |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
ACIDO VALPROICO 250MG CAPSULA | NOVAMED | FERBIN CAPSULA LIQUIDA,270
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,28
SILDENAFIL 50MG TABLETA | GENFAR |,90
BUPROPION CLORHIDRATO 150MG CAPSULA | TECNOFARMA | ODRANAL,60
LIDOCAINA 2% JALEA | PROCLIN |,3
LATANOPROST 50MCG/2.5ML GOTAS OFTALMICAS | PROCAPS | LATANOX,3
ESOMEPRAZOL 40MG TABLETA | COLMED |,60
SUCRALFATO 1MG/5ML SUSPENSIÑN | INCOBRA | ALBISAN,3
BISACODILO 5MG TABLETA | BUSSIE |,60
NAPROXENO 125MG/5ML (2.5%) SUSPENSION | LABINCO | NAPROX,1
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
ROSUVASTATINA 20MG TABLETA | ECAR |,90
VILDAGLIPTINA + METFORMINA 50MG + 850MG TABLETA | NOVARTIS | GALVUS MET,175
ATORVASTATINA 40MG TABLETA ECAR,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
LEVOTIROXINA 100MCG TABLETA | MERCK | EUTIROX,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,120
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,120
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,168
VITAMINA D3 (COLECALCIFEROL) 5600U.I./10ML SOLUCION ORAL | NOVAMED | DENSIMET,3
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,30
ESOMEPRAZOL 20MG TABLETA | COLMED |,28
TRAZODONA 50MG TABLETA | RECIPE |,30
FLUOXETINA 20MG/5ML JARABE | BUSSIE | MOLTOBEN,3
ATORVASTATINA 40MG TABLETA ECAR,90
ESOMEPRAZOL 40MG TABLETA | COLMED |,120
DOXICICLINA 100MG TABLETA | GENFAR |,28
LEVOFLOXACINO 500MG TABLETA | ALTADIS FARMACEUTICA S.A.S. | LEVOCINA,11
ATORVASTATINA 40MG TABLETA ECAR,90
FUROSEMIDA 40MG TABLETA | GENFAR |,135
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
ACETILCISTEINA 600MG SOBRE | LASANTE |,90
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
CARBOXIMETILCELULOSA 0.5% SOLUCION OFTALMICA FCO 10ML | PROCAPS | LAGRIGEN |,2
ATORVASTATINA 20MG TABLETA | LASANTE |,90
ACETAMINOFEN 500MG TABLETA | AG |,30
AMLODIPINO 10MG TABLETA | GENFAR |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
