nombre_producto,cantidad_entregada
LEVOSULPIRIDE + PANCREATINA + SIMETICONA 25MG+150MG+80MG TABLETA | GALENO QUIMICA S.A | LEPRIT,180
DESLORATADINA + MONTELUKAST 5MG + 10MG TABLETA | NOVAMED | DESLODEX,90
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,90
TIAMINA 300MG TABLETA | ECAR | VITAMINA B1 TABLETA,20
INSULINA ASPARTA 100U/3ML LAPICERO | NOVO | NOVORAPID FLEXPEN,7
ESOMEPRAZOL 20MG TABLETA |COLMED,90
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,60
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,60
ATORVASTATINA 40MG TABLETA ECAR,90
CARVEDILOL 6.25MG TABLETA | WINTHROP |,180
BETAHISTINA 16MG TABLETA | LA SANTE |,30
COLCHICINA 0.5MG TABLETA | LAPROFF |,180
CARBOXIMETILCELULOSA 0.5% SOLUCION OFTALMICA | INCOBRA | OFTALMOTRILUB,2
DICLOFENACO SODICO 1% GEL TOPICO | COASPHARMA |,3
ACETAMINOFEN 500MG TABLETA | AG |,30
DICLOFENACO SODICO 1% GEL TOPICO | GENFAR |,2
ACETAMINOFEN 500MG TABLETA | AG |,30
PROPRANOLOL 40MG TABLETA | NOVAMED |,90
ESOMEPRAZOL 20MG TABLETA |COLMED,90
ALENDRONATO 70MG TABLETA | LASANTE |,12
CARBONATO DE CALCIO 1500MG + VITAMINA D 200U.I TABLETA | LEBRIUT S.A.S | OROCAL D,90
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,90
PAROXETINA 20MG TABLETA | ECAR |,90
VITAMINA D3 2000UI CAPSULA | COLMED |,150
BUPROPION CLORHIDRATO 150MG CAPSULA | TECNOFARMA | ODRANAL,90
VALSARTAN 160MG TABLETA | LASANTE |,175
ATORVASTATINA 20MG TABLETA | ECAR |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
ALBENDAZOL 200MG TABLETA | LAPROFF |,2
LEVOTIROXINA 100MCG TABLETA | MERCK | EUTIROX,90
SERTRALINA 50MG TABLETA | GENFAR |,90
TINIDAZOL 500MG TABLETA | ECAR |,8
ATORVASTATINA 40MG TABLETA ECAR,180
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,180
VALSARTAN 160MG TABLETAS |GENFAR|,175
SALBUTAMOL 100MCG INHALADOR | CIPLA |,1
FEXOFENADINA 30MG/5ML JARABE | ECAR |,4
LOSARTAN 50MG TABLETA | GENFAR |,120
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,60
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,28
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,30
FUROSEMIDA 40MG TABLETA | GENFAR |,30
ESPIRONOLACTONA 25MG TABLETA | WINTHROP |,30
MEDROXIPROGESTERONA 5MG TABLETA | AG |,40
CLOTRIMAZOL 1% CREMA VAGINAL | AG |,1
METRONIDAZOL 500MG TABLETA | ECAR |,14
ALBENDAZOL 200MG TABLETA | BIOQUIFAR | FINAPAR,6
TINIDAZOL 500MG TABLETA | ECAR |,8
RIFAXIMINA 550MG TABLETA | NOVAMED | RIFAMED,28
TRIMEBUTINA 200MG TABLETA | GENFAR |,180
ESOMEPRAZOL 20MG TABLETA | COLMED |,120
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,120
ENOXAPARINA SODICA 40MG/0.4ML SOLUCION INYECTABLE | DELTA | PHARMA LAW,5
FLUOXETINA 20MG TABLETA | NOVAMED | GENERICO,60
DIACEREINA 50MG TABLETA | SYNERGY LAB S.A.S | ARTRO M,90
COLCHICINA 0.5MG TABLETA | LAPROFF |,180
VITAMINA D3 2000UI CAPSULA | COLMED |,90
LEVOTIROXINA 150MCG TABLETA | SIEGFRIED |,90
VALSARTAN 160MG TABLETAS |GENFAR|,165
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
LOSARTAN 50MG TABLETA | GENFAR |,90
ACETAMINOFEN 500MG TABLETA | AG |,60
FLUOXETINA 20MG TABLETA | NOVAMED | GENERICO,90
OLANZAPINA 10MG TABLETA | SCANDINAVIA | OLAZAP,90
LEVOTIROXINA 100MCG TABLETA | MERCK | EUTIROX,90
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
TRAZODONA 50MG TABLETA | RECIPE |,30
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,28
ESPIRONOLACTONA 25MG TABLETA | WINTHROP |,30
ESOMEPRAZOL 20MG TABLETA | COLMED |,60
VALSARTAN 160MG TABLETAS |GENFAR|,28
ACETAMINOFEN 500MG TABLETA | AG |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
FOSFOMICINA 3GR SOBRE DE SOLUCION ORAL | NOVAMED | UROFOS,2
VITAMINA D3 2000UI CAPSULA | COLMED |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
ALGINATO DE SODIO + BICARBONATO DE SODIO + CARBONATO DE CALCIO (500MG+213MG+325MG) 10ML SUSPENSION ORAL | NOVAMED | SUPREFLUX FORTE SACHET |,180
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,56
CARVEDILOL 6.25MG TABLETA | WINTHROP |,60
PRAZOSINA 1MG TABLETA | LABINCO | PRATEN,60
CEFALEXINA 500MG CAPSULA | RECIPE |,28
CARBONATO DE CALCIO 1500MG + VITAMINA D 400U.I TABLETA | PFIZER | CALTRATE + D,60
LEVOTIROXINA 150MCG TABLETA | SIEGFRIED |,90
IBUPROFENO 400MG TABLETA | GENFAR |,30
DICLOFENACO SODICO 1% GEL TOPICO | GENFAR |,2
SERTRALINA 50MG TABLETA | GENFAR |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,60
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,60
LEVOTIROXINA 150MCG TABLETA | SIEGFRIED |,30
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,30
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,21
LEVETIRACETAM 500MG TABLETA | WINTHROP |,120
TIAMINA 1GR SOLUCION INYECTABLE | ECAR | VITAMINA B1 INYECTABLE,1
CARBAMAZEPINA 200MG TABLETA | LAPROFF |,120
ATORVASTATINA 20MG TABLETA | ECAR |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
VALSARTAN + HIDROCLOROTIAZIDA 160MG + 12.5MG TABLETA | GENFAR |,175
AMOXICILINA 250MG/100ML SUSPENSION | LA SANTE |,2
HIOSCINA N-BUTIL BROMURO 10MG TABLETA | RECIPE |,30
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,30
HIDROXIDO DE ALUMINIO + MAGNESIO + SIMETICONA ( 400+400+20)/ML SUSPENSION 150ML | COASPHARMA |,1
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,30
MELOXICAM 7.5MG TABLETA | LASANTE |,7
TIAMINA 300MG TABLETA | ECAR | VITAMINA B1 TABLETA,30
TRIMEBUTINA 200MG TABLETA | GENFAR |,30
ACETAMINOFEN 500MG TABLETA | AG |,120
POLIETILENGLICOL + PROPILENGLICOL 3MG + 4MG SOLUCION OFTALMICA X 10ML | ALCON | SYSTANE ULTRA,1
CEFALEXINA 500MG CAPSULA | RECIPE |,28
IBUPROFENO 400MG TABLETA | GENFAR |,21
ACETAMINOFEN 500MG TABLETA | AG |,15
ACIDO ACETIL SALICILICO 100MG TABLETA | BAYER | CARDIOASPIRINA,30
ATORVASTATINA 40MG TABLETA ECAR,30
ESOMEPRAZOL 20MG TABLETA | ASTRA ZENECA | NEXIUM MUPS,30
METFORMINA 850MG TABLETA | PISA S.A |,30
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,30
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,30
ACICLOVIR 5% UNGUENTO TOPICO | GENFAR |,1
ACICLOVIR 200MG TABLETA | LASANTE |,6
ACICLOVIR 200MG TABLETA | LASANTE |,54
ATORVASTATINA 20MG TABLETA | ECAR |,30
FUROSEMIDA 40MG TABLETA | GENFAR |,30
LEVOTIROXINA 100MCG TABLETA | SIEGFRIED | TIROXIN,30
LEVOTIROXINA 25MCG TABLETA | TECNOQUIMICAS |,4
VITAMINA D3 2000UI CAPSULA | COLMED |,30
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,90
MELOXICAM 7.5MG TABLETA | LASANTE |,60
NITROFURANTOINA 100MG TABLETA | RECIPE |,30
"MOMETASONA FUROATO 50MG/ML SPRAY NASAL 0,05% | TECNOFAR |",2
FEXOFENADINA 30MG/5ML JARABE | ECAR |,3
TRIMETOPRIM SULFAMETOXAZOL 800MG + 160MG TABLETA | GENFAR |,14
ENOXAPARINA SODICA 40MG/0.4ML SOLUCION INYECTABLE | DELTA | PHARMA LAW,5
DICLOFENACO SODICO 75MG/3ML (2.5%) SOLUCION INYECTABLE | VITALIS |,2
ACETAMINOFEN 500MG TABLETA | AG |,32
MELOXICAM 7.5MG TABLETA | LASANTE |,20
FEXOFENADINA 30MG/5ML JARABE | ECAR |,1
AMOXICILINA 250MG/100ML SUSPENSION | LA SANTE |,4
RISPERIDONA 1MG TABLETA | LA SANTE | ZYRISP,60
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,40
ALBENDAZOL 200MG TABLETA | BIOQUIFAR | FINAPAR,2
IBUPROFENO 800MG TABLETA | GENFAR |,20
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,10
ALIMENTO EN POLVO A BASE DE MALTODEXTRINA CON VITAMINAS Y MINERALES | CAJA X 10 SOBRES X 1G | VITAMIX 15,60
TIAMINA 1GR SOLUCION INYECTABLE | ECAR | VITAMINA B1 INYECTABLE,1
ROSUVASTATINA 40MG TABLETA | ECAR |,90
METFORMINA 850MG TABLETA | WINTHROP |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,60
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
ROSUVASTATINA 40MG TABLETA | ECAR |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
AMLODIPINO 5MG TABLETA | WINTHROP |,90
ACETAMINOFEN 500MG TABLETA | AG |,30
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,180
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ATORVASTATINA 20MG TABLETA | ECAR |,90
ACETAMINOFEN 500MG TABLETA | AG |,90
VILDAGLIPTINA 50MG TABLETA | WILLOW PHARMA | W-LIPTINA,90
DICLOFENACO SODICO 1% GEL TOPICO | COASPHARMA |,1
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
ATORVASTATINA 20MG TABLETA | ECAR |,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,175
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
OLANZAPINA 5MG TABLETA | SIEGFRIED | MEFLAX,90
ESOMEPRAZOL 20MG TABLETA | ASTRA ZENECA | NEXIUM MUPS,90
DICLOFENACO SODICO 1% GEL TOPICO | COASPHARMA |,1
NAPROXENO 250MG TABLETA GENFAR,30
TIAMINA 300MG TABLETA | ECAR | VITAMINA B1 TABLETA,30
TRIMEBUTINA 200MG TABLETA | GENFAR |,20
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,30
NAPROXENO 250MG TABLETA GENFAR,30
VITAMINA E 400U.I CAPSULA BLANDA | PROCAPS | AQUASOL E,60
LEVONORGESTREL + ETINILESTRADIOL 0.15MG+0.03MG TABLETA | PROFAMILIA | OCEIRA,63
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,30
POLIETILENGLICOL 3350 SOBRE DE SOLUCION ORAL | ECAR | FARMALAX,2
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,28
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,60
ROSUVASTATINA 40MG TABLETA | ECAR |,60
LEVOTIROXINA 25MCG TABLETA | TECNOQUIMICAS |,15
ESOMEPRAZOL 40MG TABLETA | COLMED |,30
ATORVASTATINA 20MG TABLETA | ECAR |,60
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,120
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,60
MELOXICAM 7.5MG TABLETA | LASANTE |,20
ACETAMINOFEN 500MG TABLETA | AG |,40
BECLOMETASONA 250MCG INHALADOR BUCAL | BIOSYNTEC |,3
ATORVASTATINA 40MG TABLETA ECAR,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
SALBUTAMOL 100MCG INHALADOR | CIPLA |,3
VITAMINA D3 2000UI CAPSULA | COLMED |,90
RISPERIDONA 1MG TABLETA | LA SANTE | ZYRISP,30
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,56
VALSARTAN 160MG TABLETA | LASANTE |,117
TRIMETOPRIM SULFAMETOXAZOL 800MG + 160MG TABLETA | GENFAR |,20
ATORVASTATINA 20MG TABLETA | ECAR |,60
NAPROXENO 125MG/5ML (2.5%) SUSPENSION | LABINCO | NAPROX,1
ACETAMINOFEN 500MG TABLETA | AG |,60
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,60
LEVOTIROXINA 75MCG TABLETA | TECNOQUIMICAS |,60
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,120
TIAMINA 300MG TABLETA | ECAR | VITAMINA B1 TABLETA,30
FUROSEMIDA 40MG TABLETA | GENFAR |,90
LEVOTIROXINA 75MCG TABLETA | MERCK | EUTIROX,50
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
ACETAMINOFEN 500MG TABLETA | AG |,60
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
ATORVASTATINA 20MG TABLETA | ECAR |,90
ATORVASTATINA 40MG TABLETA ECAR,90
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
AMLODIPINO 5MG TABLETA | WINTHROP |,60
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,60
ESOMEPRAZOL 20MG TABLETA | COLMED |,90
LEVOTIROXINA 100MCG TABLETA | SIEGFRIED | TIROXIN,90
CARVEDILOL 6.25MG TABLETA | LASANTE |,90
ATORVASTATINA 20MG TABLETA | ECAR |,90
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,90
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
VITAMINA D3 2000UI CAPSULA | COLMED |,90
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,90
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
ATORVASTATINA 40MG TABLETA ECAR,90
SULFATO FERROSO 300MG TABLETA | ECAR |,30
LORATADINA 10MG TABLETA | AG |,20
CARBONATO DE CALCIO 600MG (1500MG) TABLETA | LEBRIUT S.A.S | OROCAL MASTICABLE,60
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,10
TIAMINA 1GR SOLUCION INYECTABLE | ECAR | VITAMINA B1 INYECTABLE,1
HIDROXIDO DE ALUMINIO + MAGNESIO + SIMETICONA ( 400+400+20)/ML SUSPENSION 150ML | COASPHARMA |,1
ESOMEPRAZOL 40MG TABLETA | COLMED |,60
IBUPROFENO 800MG TABLETA | GENFAR |,20
CEFALEXINA 500MG CAPSULA | RECIPE |,15
ALBENDAZOL 200MG TABLETA | LAPROFF |,2
TINIDAZOL 500MG TABLETA | ECAR |,8
ESOMEPRAZOL 20MG TABLETA | ASTRA ZENECA | NEXIUM MUPS,30
LEVOTIROXINA 88MCG TABLETA | SIEGFRIED |,60
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,180
LEVOTIROXINA 100MCG TABLETA | SIEGFRIED | TIROXIN,60
ROSUVASTATINA 20MG TABLETA | ECAR |,90
SIMETICONA + TRIMEBUTINA 120MG + 200MG TABLETA | COLMED,28
DEFLAZACORT 6MG TABLETA | BIOQUIFAR | CORTIDEXAN 6MG,30
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,60
ARIPIPRAZOL 15MG TABLETA | BUSSIE | ARIPRAZOL,60
IBUPROFENO 400MG TABLETA | GENFAR |,30
ATORVASTATINA 20MG TABLETA | ECAR |,90
VITAMINA D3 2000UI CAPSULA | COLMED |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
METFORMINA 850MG TABLETA | PISA S.A |,180
ALBENDAZOL 200MG TABLETA | LAPROFF |,2
ACETAMINOFEN 500MG TABLETA | AG |,30
ESOMEPRAZOL 40MG TABLETA | COLMED |,90
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
ACETAMINOFEN 150MG/5ML JARABE | PROCAPS | DOLOFEN,3
ATORVASTATINA 20MG TABLETA | ECAR |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
LEVOTIROXINA 100MCG TABLETA | SIEGFRIED | TIROXIN,90
VILDAGLIPTINA 50MG TABLETA | WILLOW PHARMA | W-LIPTINA,90
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,40
FUROSEMIDA 40MG TABLETA | GENFAR |,90
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,90
VALSARTAN 160MG TABLETA | LASANTE |,175
ROSUVASTATINA 40MG TABLETA | ECAR |,90
ATORVASTATINA 40MG TABLETA ECAR,30
PREGABALINA 50MG TABLETA | PFIZER | LYRICA,120
ATORVASTATINA 40MG TABLETA ECAR,60
ALBENDAZOL 200MG TABLETA | BIOQUIFAR | FINAPAR,2
BUPROPION CLORHIDRATO 150MG CAPSULA | TECNOFARMA | ODRANAL,120
BUPROPION CLORHIDRATO 150MG CAPSULA | TECNOFARMA | ODRANAL,120
MIRTAZAPINA 30MG TABLETA | HUMAX |,30
OXALATO DE ESCITALOPRAM 20MG TABLETA | SANDOZ | ANIMAXEN,90
NISTATINA + OXIDO DE ZINC 100.000U.I. + 200MG CREMA TOPICA | COLMED | 60GR,6
DORZOLAMIDA + TIMOLOL + BRIMONIDINA 20MG + 5MG + 2MG SOLUCION OFTALMICA FCO X 5ML | PROCAPS | BRIMODOR,3
HIDROXIDO DE ALUMINIO + MAGNESIO + SIMETICONA ( 400+400+20)/ML SUSPENSION 150ML | COASPHARMA |,1
ALBENDAZOL 200MG TABLETA | LAPROFF |,2
LEVONORGESTREL + ETINILESTRADIOL 0.15MG+0.03MG TABLETA | PROFAMILIA | OCEIRA,63
IBUPROFENO 400MG TABLETA | GENFAR |,15
ROSUVASTATINA 40MG TABLETA | ECAR |,90
ACETAMINOFEN 500MG TABLETA | AG |,30
METFORMINA 850MG TABLETA | PISA S.A |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,180
ATORVASTATINA 20MG TABLETA | ECAR |,90
CARVEDILOL 6.25MG TABLETA | LASANTE |,90
ESPIRONOLACTONA 25MG TABLETA | LAPROFF |,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
METOCARBAMOL 750MG TABLETA | LABINCO | MIOFLEX,9
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,5
TIAMINA 1GR SOLUCION INYECTABLE | ECAR | VITAMINA B1 INYECTABLE,1
DICLOFENACO SODICO 75MG/3ML (2.5%) SOLUCION INYECTABLE | FARMIONNI |,1
SUBSALICILATO DE BISMUTO 262 MG TABLETA MASTICABLE | LAFRANCOL | BISBACTER,28
TIAMINA 300MG TABLETA | ECAR | VITAMINA B1 TABLETA,30
METFORMINA 850MG TABLETA | PISA S.A |,60
PRAZOSINA 1MG TABLETA | LABINCO | PRATEN,60
VALSARTAN 160MG TABLETA | LASANTE |,180
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,84
NITROFURANTOINA 100MG TABLETA | RECIPE |,90
ACIDO VALPROICO 250MG/ML SUSPENSION | ABBOTT | DEPAKENE,4
OXALATO DE ESCITALOPRAM 10MG TABLETA | GENFAR |,180
SULFATO DE ZINC 2MG/ML SOLUCION ORAL | FARMATECH | SULZINC,3
ATORVASTATINA 40MG TABLETA ECAR,90
AMLODIPINO 10MG TABLETA | GENFAR |,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
METFORMINA 850MG TABLETA | PISA S.A |,90
OMEPRAZOL 20MG CAPSULA | NOVAMED |,90
