nombre_producto,cantidad_entregada
POLIETILENGLICOL + PROPILENGLICOL 3MG + 4MG SOLUCION OFTALMICA X 10ML | ALCON | SYSTANE ULTRA,3
LOSARTAN 100MG TABLETA | BUSSIE | SATOREN,90
LORATADINA 10MG TABLETA | LAPROFF |,21
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,12
NAPROXENO 250MG TABLETA GENFAR,60
PREDNISOLONA 5MG TABLETA | GENFAR |,60
DEXAMETASONA 8MG/2ML SOLUCION INYECTABLE | FARMIONNI |,6
HIALURONATO DE SODIO (ACIDO HIALURONICO) 25MG/2.5ML SOLUCION INYECTABLE | TECNOFARMA | DROPYAL,2
CEFTRIAXONA 1GR SOLUCION INYECTABLE | DELTA | CEFTRIDELT,4
SUERO FISIOLOGICO 0.9% X 500 ML BOLSA,4
GEMCITABINA 1GR SOLUCION INYECTABLE | SEVEN PHARMA | GEMTIN,4
PEGFILGRASTIM 6MG/0.6ML SOLUCION INYECTABLE | LAFRANCOL | GENFILGRAS PEG,1
ONDANSETRON 8MG/4ML SOLUCION INYECTABLE | FRESENIUS | ONDASETRON,4
DEXAMETASONA 8MG/2ML SOLUCION INYECTABLE | FARMIONNI |,2
RIVAROXABAN 15MG TABLETA | TECNOFARMA | XAROBAN,120
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,60
ATORVASTATINA 40MG TABLETA ECAR,60
VENLAFAXINA 150MG TABLETA | LASANTE |,60
VENLAFAXINA 75MG TABLETA | LASANTE |,60
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,70
HIDROXIDO DE ALUMINIO + MAGNESIO + SIMETICONA ( 400+400+20)/ML SUSPENSION 150ML | COASPHARMA |,3
NAPROXENO 250MG TABLETA GENFAR,9
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,56
LEVOTIROXINA 88MCG TABLETA | SIEGFRIED |,90
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,30
ATORVASTATINA 40MG TABLETA ECAR,60
AMLODIPINO 5MG TABLETA | WINTHROP |,60
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,60
SUCRALFATO 1GR TABLETA | ROPSOHN | ALSUCRAL,60
ETORICOXIB 60MG TABLETA | EUROFARMA |,30
VITAMINA D3 2000UI CAPSULA | COLMED |,90
LOSARTAN 50MG TABLETA | NOVAMED | TENSOFAR,60
OMEPRAZOL 20MG CAPSULA | NOVAMED |,15
ENALAPRIL 5MG TABLETA | COASPHARMA |,60
ESPIRONOLACTONA 25MG TABLETA | WINTHROP |,30
IBUPROFENO 400MG TABLETA | GENFAR |,21
CEFALEXINA 500MG CAPSULA | RECIPE |,28
AMLODIPINO 5MG TABLETA | WINTHROP |,30
BECLOMETASONA 250MCG INHALADOR BUCAL | BIOSYNTEC |,2
BROMURO DE IPRATROPIO 20MCG INHALADOR | BIOSYNTEC |,2
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,28
CARBOXIMETILCELULOSA 1% SOLUCION OFTALMICA | TECNOQUIMICAS | CARMELUB TEARS GEL,2
OXALATO DE ESCITALOPRAM 10MG TABLETA | GENFAR |,90
OLANZAPINA 10MG TABLETA | SCANDINAVIA | OLAZAP,60
CALCITRIOL 0.25MCG CAPSULA | COLMED |,60
ENALAPRIL 20MG TABLETA | ANGLOPHARMA |,120
FUROSEMIDA 40MG TABLETA | GENFAR |,60
LEVOTIROXINA 125MCG TABLETA | ABBOTT | SYNTHROID,60
CARVEDILOL 12.5MG TABLETA | WINTHROP |,180
SULFATO FERROSO 300MG TABLETA | ECAR |,90
VALSARTAN 160MG TABLETAS |GENFAR|,175
NIFEDIPINO RETARD 30MG CAPSULA | NOVAMED |,270
PALIVIZUMAB 100MG SOLUCION INYECTABLE | ASTRAZENECA | SYNAGIS,1
ACETAMINOFEN 500MG TABLETA | AG |,20
IBUPROFENO 400MG TABLETA | GENFAR |,15
CEFALEXINA 500MG CAPSULA | RECIPE |,28
CLONIDINA 0.150MG TABLETA | ECAR | E-CARDIO,270
LIDOCAINA 2% JALEA | PROCLIN |,1
OMEPRAZOL 20MG CAPSULA | NOVAMED |,90
TRASTUZUMAB 440MG/30ML POLVO PARA SOLUCION INYECTABLE | LAFRANCOL | BISINTEX,1
ALBENDAZOL 200MG TABLETA | BIOQUIFAR | FINAPAR,2
PALIVIZUMAB 100MG SOLUCION INYECTABLE | ASTRAZENECA | SYNAGIS,1
ATORVASTATINA 20MG TABLETA | ECAR |,90
VITAMINA D3 2000UI CAPSULA | COLMED |,30
FLUOROMETALONA 0.1% SOLUCION OFTALMICA | BLASKOV | FLUOFTAL,1
AMLODIPINO 5MG TABLETA | WINTHROP |,90
AMITRIPTILINA 25MG TABLETA | WINTHROP |,90
BRIMONIDINA + TIMOLOL (2MG+5MG)/5ML SOLUCION OFTALMICA | BIOESTERIL | GLAUC OFF,3
AMLODIPINO + VALSARTAN + HIDROCLOROTIAZIDA 10MG+320MG+25MG TABLETA | NOVARTIS | EXFORGE HCT,84
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
SUCRALFATO 1GR TABLETA MASTICABLE | BIOQUIFAR | ANTEPSIN,180
VALSARTAN 160MG TABLETAS |GENFAR|,119
METOPROLOL 50MG TABLETA (UNIDOSIS) | ROPSOHN | BETOPROLOL,120
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,56
ACIDO ACETIL SALICILICO 100MG TABLETA | WINTHROP |,60
ACETAMINOFEN 500MG TABLETA | AG |,360
ATORVASTATINA 40MG TABLETA ECAR,120
BISACODILO 5MG TABLETA | BUSSIE |,45
ATORVASTATINA 20MG TABLETA | ECAR |,90
ACETAMINOFEN 500MG TABLETA | AG |,30
HIDROCORTISONA 1% CREMA | AG |,2
FUROSEMIDA 40MG TABLETA | GENFAR |,90
LOSARTAN 50MG TABLETA | GENFAR |,180
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,30
AMOXICILINA 500MG CAPSULA | LASANTE |,21
LORATADINA 10MG TABLETA | LAPROFF |,7
TIAMINA 300MG TABLETA | ECAR | VITAMINA B1 TABLETA,30
SUERO FISIOLOGICO 0.9% X 500 ML BOLSA,4
ONDANSETRON 8MG/4ML SOLUCION INYECTABLE | BLAU |,4
PEGFILGRASTIM 6MG/0.6ML SOLUCION INYECTABLE | LAFRANCOL | GENFILGRAS PEG,2
PACLITAXEL 100MG/16.7ML SOLUCION INYECTABLE | HB HUMAN BIOSCIENCE |,6
DEXAMETASONA 8MG SOLUCION INYECTABLE VIAL X 2ML | PROCAPS |,4
FOSAPREPITANT 150MG/10ML SOLUCION INYECTABLE | MSN LABS | APRITANT IV,2
CARBOPLATINO 450MG/ML SOLUCION INYECTABLE | ALPHARMA |,4
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,30
LEVOTIROXINA 75MCG TABLETA | TECNOQUIMICAS |,30
LEVOTIROXINA 100MCG TABLETA | SIEGFRIED | TIROXIN,70
VITAMINA D3 2000UI CAPSULA | COLMED |,70
METFORMINA 850MG TABLETA | WINTHROP |,90
LEVOTIROXINA 75MCG TABLETA | TECNOQUIMICAS |,90
VITAMINA B12 1.000MCG/1ML SOLUCION INYECTABLE | ECAR | CIANOCOBALAMINA 0.1 MG/ML,3
ATORVASTATINA 20MG TABLETA | ECAR |,90
ATORVASTATINA 20MG TABLETA | ECAR |,90
CARVEDILOL 25MG TABLETA | WINTHROP |,180
ROSUVASTATINA 40MG TABLETA | ECAR |,90
LEVOTIROXINA 25MCG TABLETA | TECNOQUIMICAS |,90
METFORMINA 850MG TABLETA | PISA S.A |,180
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
FUROSEMIDA 40MG TABLETA | GENFAR |,90
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
HIDROCLOROTIAZIDA 25MG TABLETA | GENFAR |,90
VALSARTAN 160MG TABLETA | LASANTE |,119
VALSARTAN 160MG TABLETAS |GENFAR|,175
ACETILCISTEINA 600MG SOBRE | LASANTE |,30
ACETAMINOFEN 500MG TABLETA | NOVAMED | CRONOFEN,15
CEFALEXINA 250MG/5ML SUSPENSION | LASANTE |,1
PALIVIZUMAB 100MG SOLUCION INYECTABLE | ASTRAZENECA | SYNAGIS,1
ACIDO TRANEXAMICO 500MG TABLETA | HUMAX | FIBRILOK,30
VITAMINA D3 1000UI CAPSULA | COLMED | BLANDA,90
INSULINA GLARGINA 450U.I./1.5ML (300U.I./ML) LAPICERO | SANOFI AVENTIS | TOUJEO,6
DEXAMETASONA 8MG/2ML SOLUCION INYECTABLE | FARMIONNI |,4
DOCETAXEL 80MG SOLUCION INYECTABLE | FRESENIUS |,2
FOSAPREPITANT 150MG/10ML SOLUCION INYECTABLE | MSN LABS | APRITANT IV,1
GEMCITABINA 1GR SOLUCION INYECTABLE | SEVEN PHARMA | GEMTIN,4
PEGFILGRASTIM 6MG/0.6ML SOLUCION INYECTABLE | LAFRANCOL | GENFILGRAS PEG,1
ONDANSETRON 8MG/4ML SOLUCION INYECTABLE | BLAU |,4
SUERO FISIOLOGICO 0.9% X 500 ML BOLSA,4
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,56
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,56
VITAMINA D3 (COLECALCIFEROL) 25.000U.I./1ML SOLUCION ORAL | EUROETIKA | HISTOTAL,6
TRAMADOL 50MG/ML SOLUCION INYECTABLE | VITALIS |,10
ACETAMINOFEN 500MG TABLETA | AG |,40
DICLOFENACO SODICO 1% GEL TOPICO | GENFAR |,10
SALBUTAMOL 100MCG INHALADOR | CIPLA |,1
PREDNISOLONA 5MG TABLETA | GENFAR |,15
BECLOMETASONA 50MCG INHALADOR BUCAL | BIOSYNTEC |,1
BROMURO DE IPRATROPIO 20MCG INHALADOR | BOEHRINGER INGELHEIM | ATROVENT HFA,1
ATORVASTATINA 20MG TABLETA | ECAR |,90
CARVEDILOL 6.25MG TABLETA | WINTHROP |,180
DAPAGLIFLOZINA 10MG TABLETA | ASTRA ZENECA | FORXIGA,84
RIVAROXABAN 15MG TABLETA | SANOFI AVENTIS |,90
FUROSEMIDA 40MG TABLETA | GENFAR |,90
LEVOTIROXINA 50MCG TABLETA | SIEGFRIED | TIROXIN,90
ESOMEPRAZOL 20MG TABLETA | COLMED |,90
DICLOFENACO SODICO 75MG/3ML (2.5%) SOLUCION INYECTABLE | FARMIONNI |,1
DEXAMETASONA 8MG/2ML SOLUCION INYECTABLE | FARMIONNI |,1
JERINGA 10 ML C/A 21G X 1 1/2 3 PTES X UND*,2
PREGABALINA 75MG TABLETA | MSN | EPIBALIN,30
NAPROXENO 250MG TABLETA GENFAR,30
ETORICOXIB 120MG TABLETA | EUROFARMA |,28
PALIVIZUMAB 100MG SOLUCION INYECTABLE | ASTRAZENECA | SYNAGIS,1
GLIMEPIRIDA 2MG TABLETA | TECNOQUIMICAS |,90
ROSUVASTATINA 40MG TABLETA | ECAR |,90
VILDAGLIPTINA 50MG TABLETA | WILLOW PHARMA | W-LIPTINA,180
CALCITRIOL 0.25MCG CAPSULA | COLMED |,90
SUCRALFATO 1GR TABLETA MASTICABLE | BIOQUIFAR | ANTEPSIN,9
ESOMEPRAZOL 40MG TABLETA | COLMED |,10
ACETAMINOFEN 500MG TABLETA | AG |,30
FLUOROMETALONA 0.1% SOLUCION OFTALMICA | BLASKOV | FLUOFTAL,1
ESOMEPRAZOL 20MG TABLETA | ASTRA ZENECA | NEXIUM MUPS,90
VILDAGLIPTINA + METFORMINA 50MG + 1000MG TABLETA | NOVARTIS | GALVUS MET,84
LOSARTAN 50MG TABLETA | FARMACAPSULAS |,180
ROSUVASTATINA 40MG TABLETA | ECAR |,90
TAMSULOSINA 0.4MG TABLETA DE LIBERACION SOSTENIDA | AUROBINDO | OD - TAM 0.4,30
TRIMEBUTINA 200MG TABLETA | GENFAR |,30
